"","year","length"
"35346",1931,80
"35347",1942,96
"35348",1955,108
"35349",1952,104
"35350",1963,101
"35351",1997,87
"35352",1940,115
"35353",1934,85
"35354",1988,105
"35355",2004,86
"35356",2001,86
"35357",1999,77
"35358",1994,19
"35359",2003,40
"35360",1995,89
"35361",1956,100
"35362",1943,8
"35363",1983,97
"35364",2003,88
"35365",1978,71
"35366",1952,87
"35367",1922,25
"35368",1947,101
"35369",1958,85
"35370",2002,12
"35371",2001,88
"35372",1936,88
"35373",1983,89
"35374",1992,150
"35375",1968,138
"35376",1970,91
"35377",1933,62
"35378",2002,53
"35379",1923,25
"35380",1978,97
"35381",1975,105
"35382",1998,38
"35383",1901,2
"35384",1949,61
"35385",1940,267
"35386",1943,57
"35387",1929,80
"35388",1946,61
"35389",1961,101
"35390",1929,95
"35391",1928,89
"35392",1976,86
"35393",1989,22
"35394",1930,6
"35395",1938,62
"35396",1946,56
"35397",1934,63
"35398",1937,300
"35399",1938,74
"35400",2004,99
"35401",2004,90
"35402",1991,99
"35403",1938,56
"35404",1940,68
"35405",1934,62
"35406",1935,65
"35407",1944,58
"35408",1999,121
"35409",1997,55
"35410",1934,223
"35411",1932,56
"35412",1996,73
"35413",1933,220
"35414",1950,93
"35415",1950,78
"35416",1963,92
"35417",1931,62
"35418",1989,113
"35419",1982,80
"35420",1948,66
"35421",1935,87
"35422",1993,112
"35423",1942,91
"35424",1939,68
"35425",1934,84
"35426",1943,60
"35427",1937,60
"35428",1916,20
"35429",1935,62
"35430",1995,38
"35431",1975,83
"35432",1944,218
"35433",1933,77
"35434",1999,119
"35435",2004,40
"35436",2001,117
"35437",2003,27
"35438",1988,104
"35439",2003,137
"35440",2003,56
"35441",1979,77
"35442",1997,93
"35443",1998,60
"35444",1993,90
"35445",2000,80
"35446",1993,57
"35447",1980,59
"35448",1995,122
"35449",2004,86
"35450",2003,90
"35451",1957,15
"35452",2004,40
"35453",1994,9
"35454",1971,68
"35455",1992,96
"35456",1960,100
"35457",1954,66
"35458",2004,90
"35459",1971,97
"35460",1970,74
"35461",1999,104
"35462",1958,94
"35463",1961,114
"35464",1987,106
"35465",1979,73
"35466",1976,92
"35467",2002,92
"35468",1948,110
"35469",1968,90
"35470",1973,94
"35471",1966,96
"35472",2004,150
"35473",1973,98
"35474",1997,110
"35475",1996,104
"35476",2001,100
"35477",1999,92
"35478",2001,106
"35479",2005,75
"35480",1944,75
"35481",1981,110
"35482",1997,125
"35483",1999,85
"35484",1970,91
"35485",1993,92
"35486",2004,88
"35487",1999,15
"35488",1996,90
"35489",2004,89
"35490",1938,88
"35491",2004,95
"35492",1990,102
"35493",1959,99
"35494",2001,81
"35495",1999,101
"35496",1957,97
"35497",1972,96
"35498",2000,28
"35499",1999,92
"35500",1982,102
"35501",1979,105
"35502",2002,100
"35503",1969,91
"35504",1974,101
"35505",1959,97
"35506",2004,86
"35507",1987,174
"35508",1991,85
"35509",1993,95
"35510",1947,120
"35511",1974,133
"35512",1998,92
"35513",2001,90
"35514",2001,21
"35515",2001,120
"35516",1952,90
"35517",2003,94
"35518",1937,59
"35519",1986,90
"35520",1999,102
"35521",1991,85
"35522",1999,108
"35523",1984,117
"35524",2001,110
"35525",1987,78
"35526",1994,93
"35527",1995,25
"35528",2001,123
"35529",1987,158
"35530",1998,116
"35531",2004,123
"35532",1996,114
"35533",1985,85
"35534",2003,86
"35535",1987,95
"35536",1969,80
"35537",1956,117
"35538",1952,127
"35539",2000,115
"35540",1947,72
"35541",1993,92
"35542",1987,117
"35543",1930,10
"35544",1995,129
"35545",1982,25
"35546",1977,92
"35547",2004,85
"35548",1993,102
"35549",1985,90
"35550",2001,90
"35551",1979,13
"35552",1998,101
"35553",1997,52
"35554",1970,86
"35555",1991,60
"35556",1993,94
"35557",1995,107
"35558",1997,101
"35559",1989,122
"35560",1993,131
"35561",1999,40
"35562",1976,86
"35563",1954,86
"35564",1969,89
"35565",1973,85
"35566",1986,97
"35567",1975,89
"35568",1961,10
"35569",1948,96
"35570",1984,90
"35571",1955,82
"35572",1996,84
"35573",1958,96
"35574",1961,97
"35575",1966,80
"35576",1984,103
"35577",2004,84
"35578",1998,91
"35579",1959,73
"35580",1956,69
"35581",1991,85
"35582",1994,83
"35583",1988,85
"35584",1956,72
"35585",1993,90
"35586",1995,111
"35587",1954,95
"35588",1964,90
"35589",2002,10
"35590",1998,93
"35591",1991,115
"35592",1959,111
"35593",1992,52
"35594",1998,93
"35595",1999,15
"35596",1991,93
"35597",1957,68
"35598",1998,17
"35599",1966,96
"35600",2003,108
"35601",1967,101
"35602",1995,85
"35603",1953,91
"35604",2000,80
"35605",1955,84
"35606",1991,90
"35607",1957,91
"35608",1992,92
"35609",1985,97
"35610",1974,24
"35611",1971,78
"35612",1958,131
"35613",1961,60
"35614",1993,95
"35615",1957,78
"35616",2000,94
"35617",1987,117
"35618",2003,78
"35619",2002,90
"35620",2003,122
"35621",1989,91
"35622",1970,95
"35623",1973,146
"35624",1990,157
"35625",1986,130
"35626",1973,74
"35627",1968,84
"35628",2003,25
"35629",2000,50
"35630",2002,75
"35631",1975,22
"35632",2001,111
"35633",1995,110
"35634",1998,106
"35635",1995,178
"35636",1966,89
"35637",1986,137
"35638",1986,99
"35639",1980,90
"35640",1984,96
"35641",1995,89
"35642",1926,150
"35643",1934,90
"35644",1955,120
"35645",1970,105
"35646",1982,92
"35647",1969,140
"35648",2002,94
"35649",1938,66
"35650",1939,60
"35651",1939,68
"35652",1939,68
"35653",1950,100
"35654",1937,84
"35655",1940,97
"35656",1994,115
"35657",1999,100
"35658",1996,116
"35659",1959,105
"35660",1983,143
"35661",1965,91
"35662",1977,90
"35663",1922,79
"35664",1986,101
"35665",1938,95
"35666",1966,60
"35667",1956,7
"35668",2004,86
"35669",1972,92
"35670",1928,32
"35671",1950,84
"35672",1977,88
"35673",1977,85
"35674",1976,95
"35675",1998,144
"35676",2002,89
"35677",1989,100
"35678",1991,214
"35679",1958,98
"35680",1983,130
"35681",2002,105
"35682",1983,22
"35683",2004,105
"35684",1992,105
"35685",2000,85
"35686",1933,57
"35687",1967,29
"35688",1996,16
"35689",1992,100
"35690",2003,93
"35691",1933,69
"35692",1990,97
"35693",1952,71
"35694",1912,17
"35695",1917,68
"35696",1981,197
"35697",1995,89
"35698",1963,90
"35699",1990,107
"35700",1965,99
"35701",1999,93
"35702",1996,98
"35703",1975,159
"35704",1976,90
"35705",1966,95
"35706",1943,80
"35707",1996,142
"35708",1958,90
"35709",1992,90
"35710",2003,10
"35711",2004,154
"35712",1993,70
"35713",1977,96
"35714",2000,89
"35715",1983,81
"35716",1945,7
"35717",1964,90
"35718",1993,89
"35719",2003,47
"35720",2003,58
"35721",1957,110
"35722",2003,96
"35723",2002,110
"35724",1979,102
"35725",1983,90
"35726",2001,92
"35727",2003,74
"35728",1983,99
"35729",1942,90
"35730",1957,95
"35731",1982,93
"35732",1972,83
"35733",2003,105
"35734",1998,30
"35735",1937,74
"35736",1967,40
"35737",1995,27
"35738",1973,95
"35739",1983,89
"35740",2003,96
"35741",1980,28
"35742",2003,88
"35743",2004,131
"35744",1944,123
"35745",2000,90
"35746",1999,10
"35747",1942,80
"35748",1951,104
"35749",1986,111
"35750",1986,30
"35751",2004,104
"35752",1997,73
"35753",1972,96
"35754",1994,113
"35755",1997,106
"35756",1998,98
"35757",1994,107
"35758",1999,28
"35759",1966,105
"35760",1918,61
"35761",1986,113
"35762",1988,85
"35763",1916,22
"35764",1994,122
"35765",2003,104
"35766",2003,40
"35767",1979,100
"35768",1990,89
"35769",2000,60
"35770",1938,9
"35771",1984,134
"35772",1998,107
"35773",1933,20
"35774",2002,102
"35775",1995,91
"35776",1988,95
"35777",1962,62
"35778",2001,28
"35779",2001,1
"35780",1977,107
"35781",1957,170
"35782",1996,113
"35783",1978,101
"35784",1983,105
"35785",1939,8
"35786",1939,89
"35787",1964,72
"35788",1931,56
"35789",1983,96
"35790",1935,105
"35791",1939,6
"35792",1989,80
"35793",1945,76
"35794",1969,9
"35795",1975,102
"35796",1990,108
"35797",1999,104
"35798",2004,7
"35799",1997,29
"35800",2000,97
"35801",1981,95
"35802",1952,70
"35803",1996,90
"35804",1966,93
"35805",1945,59
"35806",1900,2
"35807",1997,105
"35808",1969,90
"35809",1942,77
"35810",1995,104
"35811",1960,81
"35812",1924,75
"35813",1988,90
"35814",1993,102
"35815",2001,96
"35816",1979,95
"35817",1994,99
"35818",1937,94
"35819",1929,77
"35820",1941,108
"35821",1942,82
"35822",1959,82
"35823",1990,113
"35824",1944,74
"35825",1966,87
"35826",1957,173
"35827",1966,120
"35828",1987,145
"35829",1975,92
"35830",1991,2
"35831",1942,83
"35832",2003,90
"35833",2002,14
"35834",1943,41
"35835",1998,104
"35836",1998,95
"35837",2002,90
"35838",1957,107
"35839",2001,84
"35840",1975,100
"35841",1977,103
"35842",1956,111
"35843",2004,102
"35844",1976,95
"35845",1997,98
"35846",1994,125
"35847",1953,78
"35848",1954,7
"35849",1987,90
"35850",1989,358
"35851",2004,95
"35852",1924,20
"35853",1990,93
"35854",1995,90
"35855",1930,58
"35856",1972,86
"35857",2004,13
"35858",1961,86
"35859",1941,95
"35860",2000,12
"35861",1991,125
"35862",1999,95
"35863",1999,110
"35864",1960,77
"35865",2002,91
"35866",2001,75
"35867",1953,68
"35868",1983,72
"35869",1991,108
"35870",1996,125
"35871",1937,11
"35872",1988,86
"35873",1997,72
"35874",1988,88
"35875",1972,83
"35876",1971,54
"35877",1994,96
"35878",1995,60
"35879",1986,77
"35880",2003,81
"35881",1970,99
"35882",2003,110
"35883",1948,79
"35884",1992,127
"35885",1993,115
"35886",1968,160
"35887",1961,97
"35888",1968,98
"35889",1987,62
"35890",2001,94
"35891",2004,94
"35892",1998,139
"35893",1946,8
"35894",1944,43
"35895",1989,95
"35896",2004,67
"35897",1995,75
"35898",1981,90
"35899",1991,100
"35900",1993,93
"35901",1920,18
"35902",1981,94
"35903",1952,8
"35904",1982,88
"35905",1972,110
"35906",1997,97
"35907",1981,95
"35908",2002,75
"35909",2001,34
"35910",2000,34
"35911",1987,74
"35912",1991,104
"35913",1993,110
"35914",1954,92
"35915",1969,95
"35916",1978,90
"35917",1997,100
"35918",1959,98
"35919",1967,107
"35920",1976,90
"35921",1994,113
"35922",1934,85
"35923",1969,100
"35924",1971,109
"35925",1970,88
"35926",1991,104
"35927",1995,106
"35928",1961,7
"35929",2003,102
"35930",2001,70
"35931",2004,85
"35932",1990,100
"35933",1993,95
"35934",1995,65
"35935",2003,92
"35936",2004,110
"35937",1984,97
"35938",1998,5
"35939",1963,82
"35940",1964,86
"35941",1964,87
"35942",1996,103
"35943",2003,10
"35944",1924,94
"35945",1994,107
"35946",1977,103
"35947",1995,91
"35948",1992,99
"35949",1986,91
"35950",1996,86
"35951",2001,90
"35952",1959,80
"35953",1998,106
"35954",1959,80
"35955",1973,98
"35956",1936,7
"35957",1949,95
"35958",1997,100
"35959",1969,102
"35960",1987,90
"35961",1981,90
"35962",2004,128
"35963",1993,103
"35964",1996,90
"35965",1909,14
"35966",1933,20
"35967",1995,113
"35968",1992,95
"35969",1990,95
"35970",1979,143
"35971",2005,27
"35972",1988,89
"35973",1999,26
"35974",1982,99
"35975",1983,105
"35976",1994,105
"35977",2003,7
"35978",2000,94
"35979",1953,86
"35980",1995,114
"35981",2004,5
"35982",1992,87
"35983",1998,16
"35984",1948,9
"35985",2005,87
"35986",2001,102
"35987",1976,121
"35988",2004,121
"35989",2003,95
"35990",1998,81
"35991",1913,8
"35992",1965,95
"35993",1994,110
"35994",2002,6
"35995",1966,78
"35996",1990,93
"35997",2004,98
"35998",1995,89
"35999",1990,84
"36000",1940,89
"36001",2001,92
"36002",1944,62
"36003",1997,108
"36004",1941,56
"36005",1966,128
"36006",1950,81
"36007",2001,98
"36008",1916,2
"36009",2002,78
"36010",1999,107
"36011",2005,87
"36012",1983,91
"36013",2004,88
"36014",1996,110
"36015",1949,82
"36016",2002,97
"36017",1941,71
"36018",1936,6
"36019",1960,90
"36020",1953,69
"36021",1996,97
"36022",2001,80
"36023",1939,82
"36024",1988,90
"36025",1995,96
"36026",1946,94
"36027",1956,96
"36028",1983,121
"36029",1992,11
"36030",1981,87
"36031",1959,125
"36032",1939,6
"36033",1959,94
"36034",1960,81
"36035",1995,86
"36036",1965,105
"36037",1997,96
"36038",1986,92
"36039",1975,99
"36040",1952,87
"36041",1921,19
"36042",1950,89
"36043",1968,99
"36044",1979,28
"36045",1988,90
"36046",1990,89
"36047",1994,95
"36048",1981,143
"36049",2003,83
"36050",2004,86
"36051",1973,104
"36052",2003,10
"36053",1985,103
"36054",1968,75
"36055",1931,95
"36056",1999,94
"36057",1988,100
"36058",1994,112
"36059",2002,96
"36060",2000,2
"36061",1990,79
"36062",1990,79
"36063",2002,91
"36064",1999,98
"36065",1972,103
"36066",1994,86
"36067",1956,176
"36068",1986,123
"36069",1982,30
"36070",1954,98
"36071",1937,100
"36072",1939,57
"36073",1934,10
"36074",1935,60
"36075",1997,97
"36076",2003,85
"36077",2002,89
"36078",1964,123
"36079",1991,97
"36080",1914,16
"36081",1995,98
"36082",1985,110
"36083",1963,110
"36084",1971,102
"36085",1988,104
"36086",1951,76
"36087",1931,78
"36088",1940,105
"36089",1932,75
"36090",1953,7
"36091",1994,107
"36092",1947,90
"36093",1955,76
"36094",2001,95
"36095",1942,11
"36096",1998,92
"36097",1942,7
"36098",2002,94
"36099",1998,90
"36100",2005,86
"36101",1999,90
"36102",2001,15
"36103",2001,89
"36104",1999,92
"36105",1982,30
"36106",1989,89
"36107",2002,16
"36108",1981,90
"36109",1981,75
"36110",1903,2
"36111",1998,14
"36112",1955,87
"36113",1964,34
"36114",1903,2
"36115",1912,16
"36116",1961,9
"36117",1929,82
"36118",1984,103
"36119",1994,89
"36120",1989,124
"36121",1905,5
"36122",1991,73
"36123",1987,96
"36124",1966,95
"36125",2001,72
"36126",1896,1
"36127",1986,10
"36128",1977,163
"36129",1896,1
"36130",1998,75
"36131",1992,90
"36132",2000,90
"36133",1931,77
"36134",1977,93
"36135",2001,25
"36136",1974,98
"36137",1977,85
"36138",1947,68
"36139",1934,10
"36140",2004,19
"36141",2000,94
"36142",1978,110
"36143",1992,121
"36144",1998,113
"36145",1989,5
"36146",2000,27
"36147",2000,108
"36148",2001,87
"36149",2000,98
"36150",1994,107
"36151",1976,103
"36152",1984,105
"36153",1997,96
"36154",1998,104
"36155",1976,111
"36156",1998,97
"36157",1938,65
"36158",1936,87
"36159",1950,83
"36160",1942,102
"36161",1982,89
"36162",1984,65
"36163",1989,108
"36164",1959,93
"36165",2001,116
"36166",2003,110
"36167",1963,11
"36168",1979,65
"36169",1967,83
"36170",2001,130
"36171",1934,74
"36172",1990,88
"36173",2002,95
"36174",1987,92
"36175",1976,89
"36176",2003,110
"36177",2001,94
"36178",1998,108
"36179",2002,110
"36180",1988,93
"36181",1989,106
"36182",1957,96
"36183",1994,100
"36184",2001,116
"36185",2003,111
"36186",1941,104
"36187",1992,40
"36188",2002,95
"36189",1958,95
"36190",1989,114
"36191",1897,1
"36192",1953,92
"36193",1941,43
"36194",1997,93
"36195",1986,41
"36196",1997,43
"36197",1959,101
"36198",1984,89
"36199",1991,82
"36200",2003,4
"36201",1966,91
"36202",1967,110
"36203",1924,97
"36204",1924,100
"36205",1998,80
"36206",1995,95
"36207",1987,16
"36208",1981,88
"36209",1969,90
"36210",1941,91
"36211",2001,14
"36212",1999,92
"36213",1958,87
"36214",1957,17
"36215",1932,70
"36216",1922,11
"36217",1995,71
"36218",1995,90
"36219",1947,108
"36220",2002,132
"36221",1971,189
"36222",2002,90
"36223",1971,67
"36224",1970,87
"36225",1980,91
"36226",1999,129
"36227",2001,95
"36228",1939,59
"36229",2004,75
"36230",2004,28
"36231",1997,95
"36232",2003,5
"36233",1995,90
"36234",1992,95
"36235",2005,95
"36236",1984,88
"36237",1932,21
"36238",1974,99
"36239",1926,37
"36240",1976,121
"36241",1962,103
"36242",1995,67
"36243",1998,90
"36244",1978,91
"36245",1995,65
"36246",2003,90
"36247",1985,101
"36248",1988,120
"36249",1979,97
"36250",1971,98
"36251",1974,89
"36252",2000,102
"36253",2004,9
"36254",1977,47
"36255",1982,113
"36256",1931,93
"36257",2003,125
"36258",1968,91
"36259",2004,75
"36260",1961,9
"36261",1934,36
"36262",1960,87
"36263",1986,102
"36264",1941,6
"36265",2004,102
"36266",2003,18
"36267",2004,12
"36268",1904,10
"36269",1915,50
"36270",1930,7
"36271",1937,11
"36272",1932,70
"36273",1969,88
"36274",1931,86
"36275",1990,90
"36276",1933,8
"36277",1941,9
"36278",1988,85
"36279",2003,19
"36280",1946,100
"36281",1990,75
"36282",1972,74
"36283",1965,85
"36284",1998,92
"36285",1990,90
"36286",2001,90
"36287",1989,91
"36288",1932,66
"36289",1925,60
"36290",1947,52
"36291",1932,92
"36292",1977,83
"36293",1989,19
"36294",1981,107
"36295",2004,15
"36296",1999,9
"36297",1971,110
"36298",1946,68
"36299",1990,90
"36300",1996,101
"36301",1992,97
"36302",1993,97
"36303",1997,118
"36304",1999,29
"36305",1994,97
"36306",1997,93
"36307",1933,84
"36308",1967,65
"36309",1989,95
"36310",1971,85
"36311",1942,79
"36312",1948,81
"36313",1955,86
"36314",1995,86
"36315",1951,86
"36316",1935,81
"36317",1937,68
"36318",2000,81
"36319",1935,73
"36320",2003,3
"36321",1984,85
"36322",1985,95
"36323",1936,25
"36324",1942,73
"36325",1975,100
"36326",1964,101
"36327",1955,94
"36328",1931,72
"36329",1997,106
"36330",1930,30
"36331",1929,71
"36332",1957,90
"36333",1984,85
"36334",1954,94
"36335",1992,99
"36336",1932,72
"36337",1939,56
"36338",1957,79
"36339",1981,88
"36340",1997,96
"36341",1989,95
"36342",1984,99
"36343",1982,105
"36344",1948,102
"36345",1952,61
"36346",1987,89
"36347",2002,30
"36348",1989,91
"36349",1993,98
"36350",1997,95
"36351",1968,99
"36352",1961,84
"36353",1948,67
"36354",1995,14
"36355",1999,80
"36356",1946,66
"36357",1966,89
"36358",1940,90
"36359",1983,70
"36360",1964,65
"36361",1985,98
"36362",1993,95
"36363",1949,84
"36364",1987,102
"36365",1989,93
"36366",1971,106
"36367",1987,30
"36368",1936,57
"36369",1964,86
"36370",2000,89
"36371",1981,96
"36372",1991,90
"36373",1973,99
"36374",1938,7
"36375",2003,97
"36376",1959,86
"36377",1993,99
"36378",1952,77
"36379",1951,75
"36380",1932,58
"36381",1946,128
"36382",2003,61
"36383",1950,96
"36384",1992,105
"36385",1995,90
"36386",1940,62
"36387",2002,87
"36388",1937,10
"36389",1935,93
"36390",1998,81
"36391",1946,85
"36392",1988,84
"36393",1983,83
"36394",1931,69
"36395",1946,84
"36396",1930,22
"36397",1988,90
"36398",1915,29
"36399",1944,65
"36400",1969,89
"36401",1971,129
"36402",1962,88
"36403",2005,92
"36404",1978,76
"36405",1941,80
"36406",1932,76
"36407",1933,65
"36408",2001,87
"36409",1994,95
"36410",1967,94
"36411",1958,62
"36412",1972,85
"36413",1984,95
"36414",1999,93
"36415",1986,85
"36416",1990,85
"36417",1993,90
"36418",1957,83
"36419",1980,97
"36420",1988,90
"36421",1997,85
"36422",2005,86
"36423",1962,90
"36424",1968,93
"36425",1967,148
"36426",1959,69
"36427",1966,102
"36428",1955,93
"36429",1964,112
"36430",1980,101
"36431",1972,88
"36432",1987,60
"36433",1990,8
"36434",1968,90
"36435",1990,88
"36436",1993,83
"36437",1988,7
"36438",1935,61
"36439",1962,60
"36440",1959,96
"36441",1994,93
"36442",1995,94
"36443",2003,54
"36444",1975,88
"36445",2000,95
"36446",1991,99
"36447",1990,85
"36448",1970,75
"36449",1981,75
"36450",1991,129
"36451",1957,22
"36452",1981,120
"36453",1957,64
"36454",1943,88
"36455",1958,123
"36456",1983,60
"36457",1978,90
"36458",1986,19
"36459",1983,80
"36460",1990,102
"36461",1972,96
"36462",1981,78
"36463",1957,78
"36464",1988,83
"36465",1987,89
"36466",1987,87
"36467",1978,113
"36468",1981,99
"36469",1998,15
"36470",1979,102
"36471",2002,96
"36472",1980,97
"36473",1983,82
"36474",1942,81
"36475",1956,89
"36476",1964,83
"36477",1981,96
"36478",1947,110
"36479",1993,76
"36480",1996,110
"36481",1974,86
"36482",1977,75
"36483",1999,98
"36484",1987,88
"36485",1988,99
"36486",1985,87
"36487",1984,91
"36488",1989,89
"36489",1987,83
"36490",1974,71
"36491",1978,90
"36492",1965,80
"36493",1980,90
"36494",1983,99
"36495",2004,75
"36496",1997,11
"36497",1997,98
"36498",2004,16
"36499",2002,95
"36500",1997,101
"36501",1979,105
"36502",1989,96
"36503",1969,97
"36504",1999,105
"36505",1953,116
"36506",1967,157
"36507",1960,107
"36508",1956,115
"36509",1969,128
"36510",1985,91
"36511",1978,97
"36512",1980,129
"36513",1954,116
"36514",1996,93
"36515",2003,100
"36516",1990,112
"36517",2001,85
"36518",1961,74
"36519",1971,90
"36520",1993,83
"36521",1956,107
"36522",2003,100
"36523",1968,116
"36524",1964,90
"36525",1997,128
"36526",1990,75
"36527",1987,91
"36528",2002,88
"36529",2001,103
"36530",2004,102
"36531",2004,90
"36532",1999,100
"36533",1994,100
"36534",1986,102
"36535",2002,83
"36536",1985,94
"36537",1944,78
"36538",2003,75
"36539",1963,124
"36540",2002,82
"36541",1941,63
"36542",1974,79
"36543",2000,87
"36544",1976,63
"36545",1943,68
"36546",2003,20
"36547",1995,103
"36548",1931,11
"36549",1980,110
"36550",1984,113
"36551",1996,110
"36552",1967,130
"36553",1998,109
"36554",1959,208
"36555",1959,181
"36556",1961,190
"36557",1986,124
"36558",1990,120
"36559",1985,91
"36560",1991,30
"36561",1985,87
"36562",1979,90
"36563",1988,90
"36564",1986,85
"36565",1984,88
"36566",1984,92
"36567",1988,90
"36568",1984,93
"36569",2003,5
"36570",1985,90
"36571",1982,79
"36572",1985,90
"36573",1967,135
"36574",1980,117
"36575",1986,92
"36576",1986,90
"36577",1937,86
"36578",1939,100
"36579",1980,99
"36580",1999,133
"36581",1934,65
"36582",1999,95
"36583",1987,109
"36584",1989,85
"36585",1983,88
"36586",1968,96
"36587",1970,105
"36588",1973,90
"36589",1963,123
"36590",1962,86
"36591",2001,118
"36592",1959,112
"36593",2001,141
"36594",1997,113
"36595",1994,90
"36596",1990,75
"36597",1960,94
"36598",1975,140
"36599",1958,52
"36600",1954,91
"36601",1938,84
"36602",1984,115
"36603",1957,96
"36604",1988,90
"36605",1951,7
"36606",1992,67
"36607",1997,87
"36608",2003,10
"36609",2003,86
"36610",1935,81
"36611",1989,86
"36612",1941,7
"36613",1995,212
"36614",2002,90
"36615",1971,129
"36616",1979,78
"36617",2000,90
"36618",1992,96
"36619",1954,7
"36620",1983,86
"36621",1970,96
"36622",1998,87
"36623",1940,17
"36624",1998,95
"36625",1994,98
"36626",1997,86
"36627",1934,22
"36628",1987,86
"36629",1976,112
"36630",1994,89
"36631",1992,65
"36632",1944,17
"36633",1957,105
"36634",1972,85
"36635",2001,24
"36636",1996,107
"36637",1953,76
"36638",1994,118
"36639",1962,85
"36640",1995,93
"36641",1998,110
"36642",1996,25
"36643",1934,117
"36644",1951,98
"36645",1952,65
"36646",1989,93
"36647",1955,6
"36648",1960,86
"36649",2002,28
"36650",1946,119
"36651",1975,16
"36652",1931,72
"36653",1936,80
"36654",1998,96
"36655",1961,110
"36656",1962,114
"36657",1932,85
"36658",1950,98
"36659",1985,110
"36660",1987,106
"36661",2001,98
"36662",2000,89
"36663",1986,106
"36664",1975,91
"36665",1948,96
"36666",1990,96
"36667",1968,62
"36668",1935,80
"36669",2000,76
"36670",1961,85
"36671",1959,77
"36672",1943,10
"36673",1980,103
"36674",2001,92
"36675",1996,97
"36676",1932,73
"36677",2000,108
"36678",1948,98
"36679",1994,90
"36680",1933,58
"36681",1954,7
"36682",1994,79
"36683",1987,84
"36684",2001,85
"36685",1939,56
"36686",1975,90
"36687",1982,30
"36688",1993,98
"36689",1958,77
"36690",1992,13
"36691",2002,26
"36692",1995,24
"36693",2000,179
"36694",1951,80
"36695",2004,96
"36696",1985,79
"36697",1989,104
"36698",1990,101
"36699",2003,86
"36700",1957,83
"36701",1952,82
"36702",1950,88
"36703",1945,7
"36704",1991,92
"36705",1996,76
"36706",1973,91
"36707",1991,73
"36708",2002,89
"36709",1984,102
"36710",1951,6
"36711",1997,93
"36712",2001,102
"36713",1989,36
"36714",1985,100
"36715",1991,93
"36716",1940,93
"36717",1943,83
"36718",1958,119
"36719",1957,82
"36720",1958,86
"36721",1998,100
"36722",2002,91
"36723",1958,96
"36724",1922,70
"36725",2001,101
"36726",1999,84
"36727",2000,6
"36728",1976,103
"36729",1995,91
"36730",1996,99
"36731",1950,106
"36732",1987,114
"36733",1968,108
"36734",2003,9
"36735",2004,95
"36736",1952,85
"36737",2001,78
"36738",2002,90
"36739",1998,120
"36740",1968,89
"36741",2002,93
"36742",2004,105
"36743",1999,105
"36744",1981,103
"36745",1935,7
"36746",1940,96
"36747",2001,17
"36748",1977,91
"36749",1997,108
"36750",1966,6
"36751",1982,86
"36752",1974,105
"36753",2004,75
"36754",1929,75
"36755",1959,19
"36756",1994,28
"36757",1945,95
"36758",1990,75
"36759",1959,110
"36760",1923,3
"36761",1935,85
"36762",1998,16
"36763",2003,88
"36764",2003,82
"36765",1946,100
"36766",2003,96
"36767",1964,80
"36768",1937,68
"36769",2001,110
"36770",1996,60
"36771",1986,107
"36772",1994,110
"36773",1968,103
"36774",1989,90
"36775",2004,25
"36776",1981,96
"36777",1973,87
"36778",1991,96
"36779",1995,42
"36780",1989,92
"36781",1975,245
"36782",1987,99
"36783",1973,96
"36784",1977,111
"36785",1913,41
"36786",2000,95
"36787",1971,95
"36788",2000,4
"36789",1930,47
"36790",1976,89
"36791",1976,82
"36792",1974,80
"36793",1972,63
"36794",2001,99
"36795",1971,101
"36796",2002,90
"36797",1989,93
"36798",2001,86
"36799",2001,119
"36800",1989,97
"36801",2004,115
"36802",1991,97
"36803",1979,85
"36804",1979,21
"36805",1946,87
"36806",1989,112
"36807",1988,9
"36808",1998,11
"36809",1999,112
"36810",1995,82
"36811",1985,75
"36812",2004,96
"36813",1929,16
"36814",1955,100
"36815",2002,90
"36816",1998,94
"36817",1984,88
"36818",1987,90
"36819",1942,174
"36820",1983,95
"36821",1995,92
"36822",1986,80
"36823",1966,65
"36824",1976,90
"36825",1992,101
"36826",2004,94
"36827",1964,93
"36828",1999,6
"36829",2000,75
"36830",2003,97
"36831",1991,90
"36832",1999,108
"36833",2001,37
"36834",2002,20
"36835",1986,91
"36836",1920,109
"36837",1993,145
"36838",2004,96
"36839",2000,22
"36840",1962,91
"36841",1989,88
"36842",1992,102
"36843",1985,113
"36844",1947,95
"36845",2001,117
"36846",1999,95
"36847",1974,93
"36848",1972,102
"36849",1985,80
"36850",2004,125
"36851",1942,72
"36852",2001,4
"36853",1937,69
"36854",1979,73
"36855",1965,106
"36856",1944,113
"36857",1944,85
"36858",1957,95
"36859",2003,8
"36860",2004,5
"36861",2002,122
"36862",1975,104
"36863",1992,108
"36864",1927,78
"36865",1948,77
"36866",1960,69
"36867",1948,72
"36868",1958,84
"36869",2000,106
"36870",1947,111
"36871",1949,122
"36872",1973,104
"36873",1970,85
"36874",2001,102
"36875",1991,88
"36876",2005,125
"36877",1999,107
"36878",1976,87
"36879",2004,85
"36880",1979,110
"36881",1997,34
"36882",2001,82
"36883",2003,110
"36884",1996,102
"36885",1963,105
"36886",2001,91
"36887",1971,50
"36888",1982,98
"36889",1988,87
"36890",1976,91
"36891",1962,79
"36892",2002,85
"36893",1978,90
"36894",1972,94
"36895",1983,139
"36896",1994,87
"36897",1979,99
"36898",2000,78
"36899",1979,119
